name,index,subindex
sun,0,sun_n
mercury,0,mercury_n
venus,0,venus_n
earth,0,earth_n
luna,1,earth_i
mars,0,mars_n
phobos,1,mars_i
deimos,2,mars_ii
ceres,1,mainbelt_i
pallas,2,mainbelt_ii
juno,3,mainbelt_iii
vesta,4,mainbelt_iv
astraea,5,mainbelt_v
hebe,6,mainbelt_vi
iris,7,mainbelt_vii
flora,8,mainbelt_viii
9metis,9,mainbelt_ix
hygiea,10,mainbelt_x
parthenope,11,mainbelt_xi
victoria,12,mainbelt_xii
egeria,13,mainbelt_xiii
irene,14,mainbelt_xiv
eunomia,15,mainbelt_xv
psyche,16,mainbelt_xvi
thetis,17,mainbelt_xvii
melpomene,18,mainbelt_xviii
fortuna,19,mainbelt_xix
massalia,20,mainbelt_xx
lutetia,21,mainbelt_xxi
kalliope,22,mainbelt_xxii
thalia,23,mainbelt_xxiii
themis,24,mainbelt_xxiv
phocaea,25,mainbelt_xxv
prosperpina,26,mainbelt_xxvi
euterpe,27,mainbelt_xxvii
bellona,28,mainbelt_xxviii
amphitrite,29,mainbelt_xxix
urania,30,mainbelt_xxx
euphrosyne,31,mainbelt_xxxi
pomona,32,mainbelt_xxxii
polyhymnia,33,mainbelt_xxxiii
circe,34,mainbelt_xxxiv
leukothea,35,mainbelt_xxxv
atalante,36,mainbelt_xxxvi
fides,37,mainbelt_xxxvii
leda,38,mainbelt_xxxviii
laetitia,39,mainbelt_xxxix
harmonia,40,mainbelt_xl
daphne,41,mainbelt_xli
isis,42,mainbelt_xlii
ariadne,43,mainbelt_xliii
nysa,44,mainbelt_xliv
eugenia,45,mainbelt_xlv
hestia,46,mainbelt_xlvi
aglaja,47,mainbelt_xlvii
doris,48,mainbelt_xlviii
pales,49,mainbelt_xlix
virginia,50,mainbelt_l
nemausa,51,mainbelt_li
europa52,52,mainbelt_lii
kalypso,53,mainbelt_liii
alexandra,54,mainbelt_liv
pandora55,55,mainbelt_lv
melete,56,mainbelt_lvi
mnemosyne,57,mainbelt_lvii
concordia,58,mainbelt_lviii
elpis,59,mainbelt_lix
echo,60,mainbelt_lx
danae,61,mainbelt_lxi
erato,62,mainbelt_lxii
ausonia,63,mainbelt_lxiii
